# Telescope Reflectivity with 2 silver mirrors
# Columns are (1) wavelength in nm and (2) reflectivity 0-1
# Source: https://www.gemini.edu/sciops/instruments/optics/Gemini_Optics_Reflectivity_Data.xlsx
# Data taken from GN sample from August 2013
# Update 17/05/2017 by A. Shugart at GS


Wavelength (nm)	Looking up
359	    0.548296349
359.5	0.551963707
360	    0.553526316
360.5	0.555956299
361	    0.559062057
361.5	0.562432317
362	    0.565475612
362.5	0.567545872
363	    0.570019067
363.5	0.573364315
364	    0.575951391
364.5	0.57871973
365	    0.581687752
365.5	0.585521312
366	    0.586106152
366.5	0.58986154
367	    0.590911528
367.5	0.594076295
368	    0.596362704
368.5	0.599506343
369	    0.601423476
369.5	0.605167796
370	    0.606746395
370.5	0.607408437
371	    0.610881026
371.5	0.613039556
372	    0.614620188
372.5	0.615942034
373	    0.620076217
373.5	0.621600134
374	    0.623188271
374.5	0.624898621
375	    0.627773595
375.5	0.628476734
376	    0.631682702
376.5	0.634174534
377	    0.635568633
377.5	0.638046057
378	    0.640193611
378.5	0.642978318
379	    0.643955518
379.5	0.645994218
380	    0.648568482
380.5	0.6515215
381	    0.651687089
381.5	0.653134054
382	    0.656288127
382.5	0.657623047
383	    0.659439451
383.5	0.66132345
384	    0.663774205
384.5	0.666680015
385	    0.667027312
385.5	0.66991204
386	    0.671056806
386.5	0.67336132
387	    0.673321096
387.5	0.676419522
388	    0.677736006
388.5	0.680314658
389	    0.681859618
389.5	0.68442559
390	    0.687211655
390.5	0.687349254
391	    0.689529347
391.5	0.69122124
392	    0.69357361
392.5	0.693753182
393	    0.695817884
393.5	0.697115033
394	    0.699723038
394.5	0.700396463
395	    0.703461888
395.5	0.704708184
396	    0.707058402
396.5	0.708142876
397	    0.70998611
397.5	0.71160093
398	    0.71262103
398.5	0.714926464
399	    0.716202651
399.5	0.717506877
400	    0.719215222
400.5	0.721004454
401	    0.72304013
401.5	0.725750802
402	    0.726343683
402.5	0.726892874
403	    0.728278028
403.5	0.730222109
404	    0.731921765
404.5	0.733631043
405	    0.735226699
405.5	0.737383647
406	    0.737076932
406.5	0.740015256
407	    0.740500793
407.5	0.741347151
408	    0.743949196
408.5	0.745307998
409	    0.747064875
409.5	0.747897284
410	    0.750402751
410.5	0.75069342
411	    0.753022927
411.5	0.752779715
412	    0.754842972
412.5	0.755845176
413	    0.756346436
413.5	0.758272616
414	    0.759233841
414.5	0.761089751
415	    0.762631177
415.5	0.763694824
416	    0.764981929
416.5	0.766056613
417	    0.767762746
417.5	0.768309863
418	    0.769664092
418.5	0.770638519
419	    0.772496581
419.5	0.773504352
420	    0.77417939
420.5	0.775196847
421	    0.776208713
421.5	0.777903321
422	    0.778994565
422.5	0.779574483
423	    0.781061067
423.5	0.78222538
424	    0.78273359
424.5	0.783953729
425	    0.784564547
425.5	0.786453749
426	    0.786416106
426.5	0.788080177
427	    0.789089791
427.5	0.790913033
428	    0.789815979
428.5	0.791848716
429	    0.793068157
429.5	0.793803531
430	    0.79520326
430.5	0.795666234
431	    0.796488134
431.5	0.79750396
432	    0.797920698
432.5	0.799193075
433	    0.799607311
433.5	0.800154405
434	    0.801610703
434.5	0.802857792
435	    0.803800726
435.5	0.804840694
436	    0.804814197
436.5	0.805489183
437	    0.806948928
437.5	0.807511365
438	    0.807671339
438.5	0.807711981
439	    0.809443509
439.5	0.811139013
440	    0.811233504
440.5	0.811501127
441	    0.812932136
441.5	0.813740363
442	    0.815536789
442.5	0.815579059
443	    0.816515937
443.5	0.815819893
444	    0.816908598
444.5	0.817814355
445	    0.817447868
445.5	0.817806325
446	    0.820004037
446.5	0.821050473
447	    0.821567804
447.5	0.822085055
448	    0.822331016
448.5	0.822645649
449	    0.824065634
449.5	0.824314446
450	    0.824565209
450.5	0.825965545
451	    0.825912381
451.5	0.826806186
452	    0.827040554
452.5	0.828640251
453	    0.829198429
453.5	0.829327316
454	    0.830301367
454.5	0.831151349
455	    0.830817048
455.5	0.831327742
456	    0.83225682
456.5	0.832578575
457	    0.83377937
457.5	0.834460922
458	    0.8342148
458.5	0.834184209
459	    0.834797349
459.5	0.836789641
460	    0.836498891
460.5	0.836778064
461	    0.83805774
461.5	0.838650957
462	    0.839313126
462.5	0.838235894
463	    0.840523006
463.5	0.840107489
464	    0.84034175
464.5	0.84161524
465	    0.841869172
465.5	0.841678208
466	    0.843621585
466.5	0.842128988
467	    0.84302993
467.5	0.84434913
468	    0.844628181
468.5	0.844294992
469	    0.84513636
469.5	0.845928833
470	    0.846817474
470.5	0.846799826
471	    0.847523147
471.5	0.846709928
472	    0.847788198
472.5	0.849068907
473	    0.849539409
473.5	0.849364399
474	    0.849699185
474.5	0.849359011
475	    0.851012919
475.5	0.851483924
476	    0.852568099
476.5	0.851399779
477	    0.852100853
477.5	0.852697865
478	    0.853556537
478.5	0.853638744
479	    0.854311227
479.5	0.855019874
480	    0.854455997
480.5	0.854722668
481	    0.855814805
481.5	0.856026928
482	    0.856259259
482.5	0.856754064
483	    0.857289638
483.5	0.857622458
484	    0.857370559
484.5	0.858594149
485	    0.858554862
485.5	0.859069289
486	    0.859962539
486.5	0.859347853
487	    0.860232792
487.5	0.860389528
488	    0.861564812
488.5	0.860818657
489	    0.861612481
489.5	0.86138809
490	    0.862309059
490.5	0.862766588
491	    0.862761946
491.5	0.863148375
492	    0.863420555
492.5	0.864099211
493	    0.86397084
493.5	0.864314299
494	    0.863351329
494.5	0.865133364
495	    0.865577116
495.5	0.866082886
496	    0.865927639
496.5	0.866882658
497	    0.866013501
497.5	0.866828842
498	    0.866501822
498.5	0.868051395
499	    0.868513741
499.5	0.867626258
500	    0.868698899
500.5	0.868870609
501	    0.869159631
501.5	0.868835105
502	    0.870084077
502.5	0.869292912
503	    0.869865772
503.5	0.871296113
504 	0.871067998
504.5	0.871749955
505	    0.871271321
505.5	0.871365478
506	    0.872322386
506.5	0.872185016
507	    0.872724465
507.5	0.87247858
508	    0.87283766
508.5	0.873996012
509	    0.873531558
509.5	0.874146846
510 	0.873838979
510.5	0.874058557
511	    0.875281083
511.5	0.875615762
512	    0.875973506
512.5	0.874136395
513	    0.875434544
513.5	0.876493669
514	    0.87584215
514.5	0.877054285
515	    0.877060992
515.5	0.876761507
516	    0.877308461
516.5	0.877461259
517	    0.879575159
517.5	0.879101544
518	    0.878051647
518.5	0.879837652
519	    0.878263809
519.5	0.879469872
520	    0.878852008
520.5	0.880504553
521	    0.88007092
521.5	0.880316155
522 	0.880110742
522.5	0.880641977
523 	0.881065501
523.5	0.88094285
524 	0.882090363
524.5	0.881078042
525 	0.881508405
525.5	0.882408665
526	    0.881756876
526.5	0.882208821
527	    0.882822462
527.5	0.882566153
528	    0.883433447
528.5	0.882717169
529	    0.884185885
529.5	0.883440125
530	    0.883487068
530.5	0.883927622
531	    0.88430209
531.5	0.883775023
532	    0.884765084
532.5	0.884736836
533	    0.884590034
533.5	0.885979857
534	    0.885873729
534.5	0.884928604
535	    0.88543052
535.5	0.886539609
536	    0.886203783
536.5	0.886299883
537	    0.887894127
537.5	0.887684102
538 	0.887115204
538.5	0.886736369
539 	0.888663134
539.5	0.888057199
540	    0.888063526
540.5	0.888603629
541 	0.888237886
541.5	0.888047197
542	    0.888862232
542.5	0.889835355
543	    0.888948469
543.5	0.88877894
544	    0.8891276
544.5	0.889727836
545	    0.890211513
545.5	0.889606688
546	    0.890864997
546.5	0.890310674
547	    0.891230767
547.5	0.891061236
548 	0.891365801
548.5	0.890044553
549	    0.892304654
549.5	0.89138027
550	    0.892124041
550.5	0.892164567
551	    0.893022269
551.5	0.892642697
552	    0.893346044
552.5	0.89264622
553	    0.89241267
553.5	0.893662647
554	    0.893356194
554.5	0.894066458
555	    0.893439394
555.5	0.894390305
556	    0.892915622
556.5	0.893595385
557	    0.895286975
557.5	0.894856068
558	    0.89455033
558.5	0.894959547
559	    0.89501118
559.5	0.89497935
560	    0.894391911
560.5	0.895300655
561	    0.895461203
561.5	0.895172848
562	    0.895833891
562.5	0.895946047
563	    0.896170038
563.5	0.896365317
564	    0.896020521
564.5	0.897025706
565	    0.897463478
565.5	0.896791674
566	    0.897050257
566.5	0.896917195
567	    0.898086937
567.5	0.897392314
568	    0.896923688
568.5	0.89798119
569	    0.898073037
569.5	0.897100821
570	    0.899008832
570.5	0.898942499
571	    0.898438476
571.5	0.899461034
572	    0.899441218
572.5	0.899117326
573	    0.898953919
573.5	0.900083811
574	    0.899867374
574.5	0.899519545
575	    0.901395229
575.5	0.899771111
576	    0.900361463
576.5	0.900082744
577	    0.900790689
577.5	0.90076092
578	    0.900146522
578.5	0.900419795
579	    0.901100344
579.5	0.901073348
580	    0.900908424
580.5	0.901415484
581	    0.902128963
581.5	0.901894601
582	    0.901697896
582.5	0.902157804
583	    0.901715755
583.5	0.901560361
584	    0.903594225
584.5	0.903299822
585	    0.903861084
585.5	0.90279458
586	    0.902927243
586.5	0.903031034
587	    0.902227888
587.5	0.903897406
588	    0.902790711
588.5	0.904054969
589	    0.903370849
589.5	0.904048503
590	    0.903103056
590.5	0.904124701
591	    0.903720882
591.5	0.90479978
592	    0.90470417
592.5	0.90549063
593	    0.904421604
593.5	0.905718288
594	    0.905902995
594.5	0.905072933
595	    0.905173526
595.5	0.905527538
596	    0.905973415
596.5	0.906317052
597	    0.905603825
597.5	0.906870068
598	    0.905333069
598.5	0.906096563
599	    0.90709473
599.5	0.907094067
600	    0.906882946
600.5	0.907068026
601	    0.907288552
601.5	0.906349074
602	    0.907443476
602.5	0.907744249
603	    0.908173004
603.5	0.907260174
604	    0.90778641
604.5	0.908050898
605	    0.907391349
605.5	0.908659359
606	    0.908256283
606.5	0.90878377
607	    0.908096255
607.5	0.908644696
608	    0.909042012
608.5	0.908746842
609	    0.908066765
609.5	0.908865649
610	    0.908956806
610.5	0.90892201
611	    0.909096559
611.5	0.908864222
612	    0.909431775
612.5	0.909442998
613	    0.909642555
613.5	0.909665959
614	    0.909403418
614.5	0.909859418
615	    0.910188551
615.5	0.910125045
616	    0.91003565
616.5	0.910176987
617	    0.911086313
617.5	0.910870332
618	    0.910814666
618.5	0.910386789
619	    0.910568249
619.5	0.910550913
620	    0.910781737
620.5	0.911245284
621 	0.911289346
621.5	0.911919145
622	    0.911093031
622.5	0.911866462
