# Atmospheric extinction data from Ted
#
# wavelength (nm)     extinction in magnitudes per air mass
     300			0.65
     400			0.3
     500			0.22
     600			0.16
     700			0.12
     800			0.090
     900			0.05
     1000			0.03
     2000			0.02
     5000			0.01
     10000			0.01
     11000   			0.00
     20000			0.00
