#K continuum 2.09  G0217
#scanned cold and tilted by 5 degrees in NIRI
#Wavelength (um)   Transmission fraction
2201.607187   0.001583
2202.312206   0.001476
2203.017225   0.001037
2203.722244   0.001003
2204.427263   0.001043
2205.132282   0.000996
2205.837301   0.001000
2206.542319   0.000977
2207.247338   0.001012
2207.952357   0.000857
2208.657376   0.001393
2209.362395   0.001474
2210.067414   0.001300
2210.772433   0.001511
2211.477452   0.001499
2212.182471   0.001580
2212.887489   0.001560
2213.592508   0.001415
2214.297527   0.001565
2215.002546   0.001580
2215.707565   0.001548
2216.412584   0.001559
2217.117603   0.001587
2217.822622   0.001624
2218.527641   0.001610
2219.232660   0.001517
2219.937678   0.001246
2220.642697   0.001156
2221.347716   0.001174
2222.052735   0.001153
2222.757754   0.001186
2223.462773   0.001132
2224.167792   0.001176
2224.872811   0.001078
2225.577830   0.001002
2226.282848   0.001042
2226.987867   0.001094
2227.692886   0.001085
2228.397905   0.000990
2229.102924   0.001026
2229.807943   0.001055
2230.512962   0.000919
2231.217981   0.001242
2231.923000   0.001465
2232.628019   0.001553
2233.333037   0.001562
2234.038056   0.001497
2234.743075   0.001469
2235.448094   0.001471
2236.153113   0.001559
2236.858132   0.001450
2237.563151   0.001381
2238.268170   0.001353
2238.973189   0.001336
2239.678207   0.001427
2240.383226   0.001361
2241.088245   0.001260
2241.793264   0.001393
2242.498283   0.001104
2243.203302   0.000692
2243.908321   0.000790
2244.613340   0.000766
2245.318359   0.000789
2246.023378   0.000760
2246.728396   0.000698
2247.433415   0.000674
2248.138434   0.000886
2248.843453   0.001259
2249.548472   0.001144
2250.253491   0.001262
2250.958510   0.001246
2251.663529   0.001257
2252.368548   0.001134
2253.073566   0.001181
2253.778585   0.001258
2254.483604   0.001213
2255.188623   0.001142
2255.893642   0.001118
2256.598661   0.001131
2257.303680   0.001148
2258.008699   0.001147
2258.713718   0.001116
2259.418737   0.001119
2260.123755   0.001239
2260.828774   0.001228
2261.533793   0.001270
2262.238812   0.001266
2262.943831   0.001316
2263.648850   0.001218
2264.353869   0.001202
2265.058888   0.001268
2265.763907   0.001287
2266.468925   0.001288
2267.173944   0.001306
2267.878963   0.001311
2268.583982   0.001309
2269.289001   0.001334
2269.994020   0.001430
2270.699039   0.001183
2271.404058   0.001127
2272.109077   0.000976
2272.814096   0.001046
2273.519114   0.001058
2274.224133   0.001113
2274.929152   0.000949
2275.634171   0.001120
2276.339190   0.001079
2277.044209   0.001063
2277.749228   0.001037
2278.454247   0.001054
2279.159266   0.000943
2279.864284   0.001009
2280.569303   0.000869
2281.274322   0.001295
2281.979341   0.006232
2282.684360   0.002415
2283.389379   0.000919
2284.094398   0.001225
2284.799417   0.001104
2285.504436   0.001189
2286.209455   0.001147
2286.914473   0.001231
2287.619492   0.001192
2288.324511   0.000966
2289.029530   0.000787
2289.734549   0.000832
2290.439568   0.000824
2291.144587   0.000880
2291.849606   0.000795
