# transmission of niri Narrow-band Pa(beta) filter
# columns are (1) Wavelength in nm, (2) transmission
# first and last values are 0 for extrapolation purposes
# author: Brian Walls
# created: 29 Aug 1999
# replaced with scanned transmission curve: 25 may 2006
#PaBeta		G0221
#scanned cold and tilted by 5 degrees in NIRI
1299.471217   0.034253
1299.831145   0.031708
1300.191074   0.030134
1300.551002   0.026411
1300.910930   0.025198
1301.270858   0.025024
1301.630786   0.024318
1301.990714   0.022868
1302.350642   0.022147
1302.710570   0.022630
1303.070498   0.020830
1303.430426   0.018715
1303.790355   0.015024
1304.150283   0.013696
1304.510211   0.014629
1304.870139   0.014680
1305.230067   0.010969
1305.589995   0.010858
1305.949923   0.014802
1306.309851   0.012950
1306.669779   0.012702
1307.029707   0.018122
1307.389636   0.019466
1307.749564   0.016124
1308.109492   0.014587
1308.469420   0.014333
1308.829348   0.017248
1309.189276   0.015065
1309.549204   0.011814
1309.909132   0.006792
1310.269060   0.006524
1310.628988   0.007906
1310.988916   0.010055
1311.348845   0.007283
1311.708773   0.004762
1312.068701   0.006304
1312.428629   0.006386
1312.788557   0.007757
1313.148485   0.009576
1313.508413   0.010960
1313.868341   0.009259
1314.228269   0.008346
1314.588197   0.008747
1314.948126   0.008383
1315.308054   0.008948
1315.667982   0.009062
1316.027910   0.009550
1316.387838   0.008032
1316.747766   0.007269
1317.107694   0.009806
1317.467622   0.010390
1317.827550   0.010385
1318.187478   0.007943
1318.547407   0.008625
1318.907335   0.008755
1319.267263   0.006824
1319.627191   0.006589
1319.987119   0.007093
1320.347047   0.008198
1320.706975   0.009217
1321.066903   0.008087
1321.426831   0.007112
1321.786759   0.010462
1322.146687   0.011195
1322.506616   0.007754
1322.866544   0.005452
1323.226472   0.008759
1323.586400   0.007920
1323.946328   0.008002
1324.306256   0.006405
1324.666184   0.008519
1325.026112   0.011111
