#ED379-W  1%H short-prime  1.5945-1.6110um
#Cuton:  1593.5
#Cutoff: 1610.8
#  wl     trans at 50K 
# (nm)         (%)     
#----------------------
1594.60  66.312637330
1594.70  67.698745730
1594.80  69.377937320
1594.90  71.435104370
1595.00  72.752105710
1595.10  74.056747440
1595.20  75.466827390
1595.30  77.104576110
1595.40  78.478660580
1595.50  79.558128360
1595.60  80.501922610
1595.70  81.842025760
1595.80  82.887741090
1595.90  83.566558840
1596.00  84.230728150
1596.10  85.020812990
1596.20  85.607872010
1596.30  86.151596070
1596.40  86.550613400
1596.50  86.903259280
1596.60  87.307739260
1596.70  87.571441650
1596.80  87.677833560
1596.90  87.849365230
1597.00  88.089645390
1597.10  88.190284730
1597.20  88.157066350
1597.30  88.134925840
1597.40  88.094673160
1597.50  88.002311710
1597.60  87.890808110
1597.70  87.785491940
1597.80  87.631767270
1597.90  87.423011780
1598.00  87.254867550
1598.10  87.068336490
1598.20  86.922012330
1598.30  86.686965940
1598.40  86.400901790
1598.50  86.198219300
1598.60  85.997840880
1598.70  85.735733030
1598.80  85.542091370
1598.90  85.338577270
1599.00  85.174575810
1599.10  84.967247010
1599.20  84.662071230
1599.30  84.417266850
1599.40  84.237556460
1599.50  83.986022950
1599.60  83.712394710
1599.70  83.404205320
1599.80  83.173027040
1599.90  82.928100590
1600.00  82.619926450
1600.10  82.340202330
1600.20  82.089927670
1600.30  81.791694640
1600.40  81.475807190
1600.50  81.185432430
1600.60  80.879035950
1600.70  80.690757750
1600.80  80.316688540
1600.90  79.990684510
1601.00  79.629287720
1601.10  79.317527770
1601.20  79.072608950
1601.30  78.619400020
1601.40  78.240783690
1601.50  77.949829100
1601.60  77.544784550
1601.70  77.152526860
1601.80  76.720062260
1601.90  76.346549990
1602.00  76.021965030
1602.10  75.659057620
1602.20  75.152626040
1602.30  74.803977970
1602.40  74.443794250
1602.50  74.157890320
1602.60  73.686752320
1602.70  73.268981930
1602.80  72.967582700
1602.90  72.653854370
1603.00  72.286834720
1603.10  71.950805660
1603.20  71.643905640
1603.30  71.375946040
1603.40  71.063995360
1603.50  70.753890990
1603.60  70.514205930
1603.70  70.263153080
1603.80  70.104881290
1603.90  69.805168150
1604.00  69.592788700
1604.10  69.465431210
1604.20  69.357154850
1604.30  69.233955380
1604.40  69.120750430
1604.50  69.098434450
1604.60  69.037719730
1604.70  68.999244690
1604.80  69.034400940
1604.90  69.137237550
1605.00  69.206863400
1605.10  69.289283750
1605.20  69.415580750
1605.30  69.593231200
1605.40  69.785240170
1605.50  70.006851200
1605.60  70.195587160
1605.70  70.508773800
1605.80  70.820304870
1605.90  71.124664310
1606.00  71.465461730
1606.10  71.924194340
1606.20  72.249916080
1606.30  72.602752690
1606.40  72.954597470
1606.50  73.394645690
1606.60  73.907867430
1606.70  74.393829350
1606.80  74.781333920
1606.90  75.285842900
1607.00  75.788116460
1607.10  76.159553530
1607.20  76.532104490
1607.30  76.882316590
1607.40  77.266197200
1607.50  77.604400630
1607.60  77.887001040
1607.70  78.059860230
1607.80  78.270126340
1607.90  78.399650570
1608.00  78.383049010
1608.10  78.324806210
1608.20  78.181617740
1608.30  77.976806640
1608.40  77.720947270
1608.50  77.438179020
1608.60  76.932487490
1608.70  76.199188230
1608.80  75.476165770
1608.90  74.822013850
1609.00  73.977523800
1609.10  72.900009160
1609.20  71.564353940
1609.30  70.356666560
1609.40  69.368217470
1609.50  67.702903750
1609.60  66.250381470
1609.70  64.890823360
1609.80  63.437549590
1609.90  61.682582860
1610.00  59.556694030
1610.10  57.752574920
1610.20  56.133895870
1610.30  54.306594850
1610.40  52.015041350
1610.50  49.850337980
1610.60  48.316707610
1610.70  46.606521610
1610.80  44.289699550
1610.90  41.997547150
1611.00  40.098583220
1611.10  38.293983460
1611.20  36.216251370
1611.30  34.308513640
1611.40  32.737030030
1611.50  31.538280490
1611.60  29.852756500
1611.70  27.942302700
1611.80  26.308807370
1611.90  25.032827380
1612.00  23.618497850
1612.10  22.151678090
1612.20  20.660223010
1612.30  19.610967640
1612.40  18.705282210
1612.50  17.360916140
1612.60  16.153385160
1612.70  15.175779340
1612.80  14.336278920
1612.90  13.650031090
1613.00  12.740630150
1613.10  11.970512390
1613.20  11.340078350
1613.30  10.831372260
1613.40  10.120337490
1613.50   9.492271423
1613.60   8.936493874
1613.70   8.467106819
1613.80   7.960507870
1613.90   7.425142765
1614.00   7.008779049
1614.10   6.722056866
1614.20   6.337467670
1614.30   5.879085064
1614.40   5.546278954
1614.50   5.287869453
1614.60   5.051834583
1614.70   4.738258839
1614.80   4.466295242
1614.90   4.276490688
1615.00   4.077166557
1615.10   3.845689774
1615.20   3.636683226
1615.30   3.485542536
1615.40   3.348784447
1615.50   3.156254768
1615.60   2.998618364
1615.70   2.859834194
1615.80   2.728723764
1615.90   2.643831491
1616.00   2.475182533
1616.10   2.333102703
1616.20   2.230694771
1616.30   2.161779881
1616.40   2.025231838
1616.50   1.960942745
1616.60   1.879531503
1616.70   1.807449579
1616.80   1.734566450
1616.90   1.642754078
1617.00   1.571653247
1617.10   1.501080990
1617.20   1.445611715
1617.30   1.377099514
1617.40   1.326702952
1617.50   1.281173587
1617.60   1.242546082
1617.70   1.176781893
1617.80   1.128050089
1617.90   1.091389418
1618.00   1.049867034
1618.10   0.988348186
1618.20   0.939721406
1618.30   0.945046365
1618.40   0.892237842
1618.50   0.877000000
1618.60   0.836440206
1618.70   0.800600350
1618.80   0.774863780
1618.90   0.753958225
1619.00   0.688042283
1619.10   0.689432263
1619.20   0.669991016
1619.30   0.639470518
1619.40   0.612993121
1619.50   0.594244540
1619.60   0.585787058
1619.70   0.532030940
1619.80   0.538167775
1619.90   0.529712319
1620.00   0.486795962
1620.10   0.471249461
1620.20   0.461888999
1620.30   0.457022250
1620.40   0.422890067
1620.50   0.432620585
1620.60   0.423256040
1620.70   0.417430520
1620.80   0.378228039
1620.90   0.390000000
1621.00   0.363855362
1621.10   0.347367287
1621.20   0.352033943
1621.30   0.327623159
1621.40   0.317303985
1621.50   0.303996176
1621.60   0.294597030
1621.70   0.309165418
1621.80   0.272457302
1621.90   0.275912851
1622.00   0.262673497
1622.10   0.263145477
1622.20   0.247000000
1622.30   0.242110178
1622.40   0.234529987
1622.50   0.230794027
1622.60   0.222990960
1622.70   0.214748174
1622.80   0.211512163
1622.90   0.206599832
1623.00   0.202314884
1623.10   0.188117400
1623.20   0.190097988
1623.30   0.196625114
1623.40   0.185807452
1623.50   0.169944391
1623.60   0.176196680
1623.70   0.162302837
1623.80   0.155573160
1623.90   0.160225555
1624.00   0.163855016
1624.10   0.143963352
1624.20   0.155128494
1624.30   0.144410193
1624.40   0.138068229
1624.50   0.130588502
1624.60   0.143148676
1624.70   0.132868171
1624.80   0.130146563
1624.90   0.127075329
1625.00   0.116274916
1625.10   0.115698636
1625.20   0.112444840
1625.30   0.117377982
1625.40   0.114156656
1625.50   0.113144703
1625.60   0.103584677
1625.70   0.101812810
1625.80   0.092694908
1625.90   0.097140908
1626.00   0.086729452
1626.10   0.088369302
1626.20   0.098339081
1626.30   0.089735687
1626.40   0.081157155
1626.50   0.077319257
1626.60   0.080613829
1626.70   0.103209026
1626.80   0.074713446
1626.90   0.079587154
1627.00   0.086667337
1627.10   0.073960498
1627.20   0.079432413
1627.30   0.065506846
1627.40   0.070132248
1627.50   0.065766290
1627.60   0.060320232
1627.70   0.063018061
1627.80   0.065040298
1627.90   0.067767918
1628.00   0.070664831
1628.10   0.059262075
1628.20   0.066379689
