# transmission of niri Narrow-band FeII filter
# columns are (1) Wavelength in nm, (2) transmission
# first and last values are 0 for extrapolation purposes
# author: Brian Walls
# created: 29 Aug 1999
# replaced with scanned transmission curve 25 May 2006
#[FeII]		G0215
#scanned cold and tilted by 5 degrees in NIRI
1695.862332   0.002960
1696.382409   0.003245
1696.902486   0.003307
1697.422563   0.003250
1697.942639   0.003032
1698.462716   0.002877
1698.982793   0.002913
1699.502870   0.003240
1700.022946   0.003153
1700.543023   0.003131
1701.063100   0.003198
1701.583177   0.003495
1702.103254   0.003291
1702.623330   0.002804
1703.143407   0.002719
1703.663484   0.002870
1704.183561   0.003245
1704.703638   0.003214
1705.223714   0.002818
1705.743791   0.002507
1706.263868   0.003039
1706.783945   0.003155
1707.304022   0.002755
1707.824098   0.003283
1708.344175   0.003582
1708.864252   0.003378
1709.384329   0.003356
1709.904406   0.003050
1710.424482   0.003127
1710.944559   0.003403
1711.464636   0.003300
1711.984713   0.003129
1712.504789   0.002799
1713.024866   0.002405
1713.544943   0.002385
1714.065020   0.002680
1714.585097   0.002877
1715.105173   0.002313
1715.625250   0.002323
1716.145327   0.002679
1716.665404   0.003005
1717.185481   0.002959
1717.705557   0.002829
1718.225634   0.002972
1718.745711   0.002635
1719.265788   0.002875
1719.785865   0.002824
1720.305941   0.002194
1720.826018   0.001972
1721.346095   0.001977
1721.866172   0.001889
1722.386248   0.001848
1722.906325   0.002018
1723.426402   0.001766
1723.946479   0.001856
1724.466556   0.002011
1724.986632   0.002761
1725.506709   0.002778
1726.026786   0.002757
1726.546863   0.002422
1727.066940   0.002570
1727.587016   0.002288
1728.107093   0.002430
1728.627170   0.002379
1729.147247   0.002143
1729.667324   0.002087
1730.187400   0.001986
1730.707477   0.001735
1731.227554   0.002004
1731.747631   0.001574
1732.267708   0.002077
1732.787784   0.001691
1733.307861   0.002168
1733.827938   0.002412
1734.348015   0.002565
1734.868091   0.002462
1735.388168   0.002845
1735.908245   0.002321
1736.428322   0.002391
1736.948399   0.001944
1737.468475   0.002098
1737.988552   0.002012
1738.508629   0.002109
1739.028706   0.002165
1739.548783   0.002092
1740.068859   0.001895
1740.588936   0.001662
1741.109013   0.001446
1741.629090   0.002192
1742.149167   0.001967
