#ED286-W  1%H short   1.5786-1.5945 um
#Cuton:  1575.22
#Cutoff: 1592.75
#
# Added 0.0 values at both ends for extrapolation. mdillman 2-18-09
#  wl     trans at 50K 
# (nm)         (%)     
#----------------------
1584.30  79.814613340
1584.40  80.068260190
1584.50  80.283607480
1584.60  80.491127010
1584.70  80.663368230
1584.80  80.885581970
1584.90  81.060050960
1585.00  81.213203430
1585.10  81.321159360
1585.20  81.514801030
1585.30  81.661811830
1585.40  81.775177000
1585.50  81.887420650
1585.60  81.967643740
1585.70  82.052772520
1585.80  82.118927000
1585.90  82.232398990
1586.00  82.252700810
1586.10  82.238807680
1586.20  82.218750000
1586.30  82.309928890
1586.40  82.281272890
1586.50  82.249092100
1586.60  82.227653500
1586.70  82.194381710
1586.80  82.155975340
1586.90  82.057853700
1587.00  81.925376890
1587.10  81.854560850
1587.20  81.769111630
1587.30  81.628646850
1587.40  81.448013310
1587.50  81.263519290
1587.60  81.102066040
1587.70  81.005729680
1587.80  80.828689580
1587.90  80.571228030
1588.00  80.252296450
1588.10  79.861862180
1588.20  79.517112730
1588.30  79.451713560
1588.40  79.093673710
1588.50  78.812934880
1588.60  78.495910640
1588.70  77.985328670
1588.80  77.606048580
1588.90  77.174812320
1589.00  76.797897340
1589.10  76.215896610
1589.20  75.658325200
1589.30  75.182151790
1589.40  74.650558470
1589.50  74.100639340
1589.60  73.320190430
1589.70  72.758735660
1589.80  72.129943850
1589.90  71.523941040
1590.00  70.563354490
1590.10  69.795059200
1590.20  69.023445130
1590.30  68.474349980
1590.40  67.442596440
1590.50  66.518249510
1590.60  65.646865840
1590.70  64.785224910
1590.80  63.804508210
1590.90  62.631546020
1591.00  61.901603700
1591.10  60.919773100
1591.20  59.716468810
1591.30  58.403301240
1591.40  57.402729030
1591.50  56.298912050
1591.60  55.260093690
1591.70  53.896129610
1591.80  52.694004060
1591.90  51.623271940
1592.00  50.605522160
1592.10  49.323833470
1592.20  47.854671480
1592.30  46.788822170
1592.40  45.554794310
1592.50  44.338363650
1592.60  42.707603450
1592.70  41.681243900
1592.80  40.509368900
1592.90  39.353420260
1593.00  37.916126250
1593.10  36.729042050
1593.20  35.516635890
1593.30  34.519725800
1593.40  33.236782070
1593.50  31.907772060
1593.60  30.860296250
1593.70  29.881959920
1593.80  28.810173030
1593.90  27.528604510
1594.00  26.446115490
1594.10  25.400581360
1594.20  24.542142870
1594.30  23.310060500
1594.40  22.417125700
1594.50  21.437301640
1594.60  20.579538350
1594.70  19.718721390
1594.80  18.790716170
1594.90  18.000226970
1595.00  17.297277450
1595.10  16.591810230
1595.20  15.649615290
1595.30  14.998223300
1595.40  14.407439230
1595.50  13.760662080
1595.60  13.067089080
1595.70  12.431093220
1595.80  11.826091770
1595.90  11.411043170
1596.00  10.731657980
1596.10  10.139794350
1596.20   9.706586838
1596.30   9.312716484
1596.40   8.950032234
1596.50   8.355411530
1596.60   7.999990940
1596.70   7.641685009
1596.80   7.340016842
1596.90   6.896180630
1597.00   6.597705364
1597.10   6.273676395
1597.20   6.011332035
1597.30   5.673520088
1597.40   5.416749001
1597.50   5.163256645
1597.60   4.941020966
1597.70   4.705930710
1597.80   4.418852329
1597.90   4.245334625
1598.00   4.078710079
1598.10   3.909369469
1598.20   3.661667109
1598.30   3.514799833
1598.40   3.342844248
1598.50   3.220000000
1598.60   3.048733473
1598.70   2.935075283
1598.80   2.788256645
1598.90   2.670255661
1599.00   2.570652008
1599.10   2.416326761
1599.20   2.327659845
1599.30   2.227928638
1599.40   2.125524521
1599.50   2.020742655
1599.60   1.937869191
1599.70   1.844406366
1599.80   1.786793351
1599.90   1.699342728
1600.00   1.633683920
1600.10   1.557133913
1600.20   1.511481524
1600.30   1.443166614
1600.40   1.366399765
1600.50   1.316636562
1600.60   1.276576400
1600.70   1.226866961
1600.80   1.181156516
1600.90   1.130000000
1601.00   1.074656129
1601.10   1.039196849
1601.20   0.981651247
1601.30   0.937884510
1601.40   0.903474987
1601.50   0.885045648
1601.60   0.842589438
1601.70   0.808513880
1601.80   0.777974010
1601.90   0.763963938
1602.00   0.742692709
1602.10   0.707761228
1602.20   0.670000000
1602.30   0.644275010
1602.40   0.637499750
1602.50   0.602161884
