# GHOST echellograms dataset for Standard resolution
# Columns are (1) order number, m (2) blaze wavelength in nm, lambda (3) Adopted GHOST resolution for SR (this is adopted before final FWHM values are delivered, should be updated) (4) d_lambda in nm, calculated based on the resolution. 
# Data from G. Robertson, U. Sydney
# Author: Venu Kalari
# Created: 22 August 2022
#
# m lambda R d_lambda
  95 362.2  50000 0.00724
  94 366.1  50000 0.00732
  93 370.0  50000 0.0074 
  92 374.1  50000 0.00748
  91 378.2  50000 0.00756
  90 382.4  50000 0.00764
  89 386.7  50000 0.00773
  88 391.1  50000 0.00782
  87 395.6  50000 0.00791
  86 400.2  50000 0.00800
  85 404.9  50000 0.00809
  84 409.7  50000 0.00819
  83 414.6  50000 0.00829
  82 419.7  50000 0.00839
  81 424.9  50000 0.00849
  80 430.2  50000 0.00860
  79 435.6  50000 0.00871
  78 441.2  50000 0.00882
  77 446.9  50000 0.00893
  76 452.8  50000 0.00905
  75 458.8  50000 0.00917
  74 465.0  50000 0.0093 
  73 471.4  50000 0.00942
  72 478.0  50000 0.00956
  71 484.7  50000 0.00969
  70 491.6  50000 0.00983
  69 498.7  50000 0.00997
  68 506.1  50000 0.01012
  67 513.6  50000 0.01027
  66 521.4  50000 0.01042
  65 529.4  50000 0.01058
  64 537.7  50000 0.01075
  63 546.2  50000 0.01092
  62 555.1  50000 0.01110
  61 564.2  50000 0.01128
  60 573.6  50000 0.01147
  59 583.3  50000 0.01166
  58 593.3  50000 0.01186
  57 603.7  50000 0.01207
  56 614.5  50000 0.01229
  55 625.7  50000 0.01251
  54 637.3  50000 0.01274
  53 649.3  50000 0.01298
  52 661.8  50000 0.01323
  51 674.8  50000 0.01349
  50 688.3  50000 0.01376
  49 702.3  50000 0.01404
  48 717.0  50000 0.01434
  47 732.2  50000 0.01464
  46 748.1  50000 0.01496
  45 764.7  50000 0.01529
  44 782.1  50000 0.01564
  43 800.3  50000 0.01600
  42 819.4  50000 0.01638
  41 839.4  50000 0.01678
  40 860.3  50000 0.01720
  39 882.4  50000 0.01764
  38 905.6  50000 0.01811
  37 930.1  50000 0.01860
  36 955.9  50000 0.01911
  35 983.2  50000 0.01966
  34 1012.2 50000 0.02024
