# sky background 0.3-1.0um
# BRIGHT optical sky - 100%ile conditions (day 14)
#AM=1.0
#
#derived from sky spectrum with constant slope to match assumed photometric background
#increasingly poor model at very bright sky (day14);  patched to near-IR background at 920nm
#
#1 March 2001 : Phil Puxley

#nm         phot/s/nm/arcsec^2/m^2
320.00                    0.0000
349.99                    0.0000
350.17                   16.3580
350.43                   16.3513
350.70                   16.3446
350.96                   16.3379
351.23                   16.3312
351.49                   16.3245
351.76                   16.3178
352.02                   16.3111
352.29                   16.3044
352.55                   16.2977
352.82                   16.2910
353.08                   16.2843
353.35                   16.2776
353.62                   16.2709
353.88                   16.2642
354.15                   16.2575
354.41                   16.2508
354.68                   16.2440
354.94                   16.2373
355.21                   16.2306
355.47                   16.2239
355.74                   16.2172
356.00                   16.2105
356.27                   16.2038
356.53                   16.1971
356.80                   16.1904
357.07                   16.1837
357.33                   16.1770
357.60                   16.1703
357.86                   16.1636
358.13                   16.1569
358.39                   16.1502
358.66                   16.1435
358.92                   16.1368
359.19                   16.1301
359.45                   16.1233
359.72                   16.1166
359.98                   16.1099
360.25                   16.1032
360.51                   16.0965
360.78                   16.0898
361.05                   16.0831
361.31                   16.0764
361.58                   16.0697
361.84                   16.0630
362.11                   16.0563
362.37                   16.0496
362.64                   16.0429
362.90                   16.0362
363.17                   16.0295
363.43                   16.0228
363.70                   16.0161
363.96                   16.0093
364.23                   16.0026
364.49                   15.9959
364.76                   15.9892
365.03                   15.9825
365.29                   15.9758
365.56                   15.9691
365.82                   15.9624
366.09                   15.9557
366.35                   15.9490
366.62                   15.9423
366.88                   15.9356
367.15                   15.9289
367.41                   15.9222
367.68                   15.9155
367.94                   15.9088
368.21                   15.9021
368.47                   15.8953
368.74                   15.8886
369.01                   15.8819
369.27                   15.8752
369.54                   15.8685
369.80                   15.8618
370.07                   15.8551
370.33                   15.8484
370.60                   15.8417
370.86                   15.8350
371.13                   15.8283
371.39                   15.8216
371.66                   15.8149
371.92                   15.8082
372.19                   15.8015
372.45                   15.7948
372.72                   15.7881
372.99                   15.7813
373.25                   15.7746
373.52                   15.7679
373.78                   15.7612
374.05                   15.7545
374.31                   15.7478
374.58                   15.7411
374.84                   15.7344
375.11                   15.7277
375.37                   15.7210
375.64                   15.7143
375.90                   15.7076
376.17                   15.7009
376.43                   15.6942
376.70                   15.6875
376.97                   15.6808
377.23                   15.6741
377.50                   15.6674
377.76                   15.6606
378.03                   15.6539
378.29                   15.6472
378.56                   15.6405
378.82                   15.6338
379.09                   15.6271
379.35                   15.6204
379.62                   15.6137
379.88                   15.6070
380.15                   15.6003
380.41                   15.5936
380.68                   15.5869
380.95                   15.5802
381.21                   15.5735
381.48                   15.5668
381.74                   15.5601
382.01                   15.5534
382.27                   15.5466
382.54                   15.5399
382.80                   15.5332
383.07                   15.5265
383.33                   15.5198
383.60                   15.5131
383.86                   15.5064
384.13                   15.4997
384.40                   15.4930
384.66                   15.4863
384.93                   15.4796
385.19                   15.4729
385.46                   15.4662
385.72                   15.4595
385.99                   15.4528
386.25                   15.4461
386.52                   15.4394
386.78                   15.4327
387.05                   15.4260
387.31                   15.4193
387.58                   15.4126
387.84                   15.4059
388.11                   15.3992
388.38                   15.3926
388.64                   15.3859
388.91                   15.3792
389.17                   15.3725
389.44                   15.3658
389.70                   15.3591
389.97                   15.3525
390.23                   15.3458
390.50                   15.3391
390.76                   15.3325
391.03                   15.3258
391.29                   15.3192
391.56                   15.3125
391.82                   15.3058
392.09                   15.2992
392.36                   15.2925
