# sky background 0.3-1.0um
# BRIGHT optical sky - 100%ile conditions (day 14)
# AM=2.0
#
#derived from sky spectrum with constant slope to match assumed photometric background
#increasingly poor model at very bright sky (day14);  patched to near-IR background at 920nm
#
#1 March 2001 : Phil Puxley

#nm         phot/s/nm/arcsec^2/m^2
320.00                    0.0000
349.99                    0.0000
350.17                   22.3062
350.43                   22.2966
350.70                   22.2870
350.96                   22.2773
351.23                   22.2677
351.49                   22.2581
351.76                   22.2485
352.02                   22.2388
352.29                   22.2292
352.55                   22.2196
352.82                   22.2100
353.08                   22.2003
353.35                   22.1907
353.62                   22.1811
353.88                   22.1715
354.15                   22.1619
354.41                   22.1522
354.68                   22.1426
354.94                   22.1330
355.21                   22.1234
355.47                   22.1137
355.74                   22.1041
356.00                   22.0945
356.27                   22.0849
356.53                   22.0752
356.80                   22.0656
357.07                   22.0560
357.33                   22.0464
357.60                   22.0367
357.86                   22.0271
358.13                   22.0175
358.39                   22.0079
358.66                   21.9982
358.92                   21.9886
359.19                   21.9790
359.45                   21.9694
359.72                   21.9597
359.98                   21.9501
360.25                   21.9405
360.51                   21.9309
360.78                   21.9212
361.05                   21.9116
361.31                   21.9020
361.58                   21.8924
361.84                   21.8827
362.11                   21.8731
362.37                   21.8635
362.64                   21.8539
362.90                   21.8442
363.17                   21.8346
363.43                   21.8250
363.70                   21.8154
363.96                   21.8057
364.23                   21.7961
364.49                   21.7865
364.76                   21.7769
365.03                   21.7672
365.29                   21.7576
365.56                   21.7480
365.82                   21.7384
366.09                   21.7287
366.35                   21.7191
366.62                   21.7095
366.88                   21.6999
367.15                   21.6902
367.41                   21.6806
367.68                   21.6710
367.94                   21.6614
368.21                   21.6518
368.47                   21.6421
368.74                   21.6325
369.01                   21.6229
369.27                   21.6133
369.54                   21.6036
369.80                   21.5940
370.07                   21.5844
370.33                   21.5748
370.60                   21.5651
370.86                   21.5555
371.13                   21.5459
371.39                   21.5363
371.66                   21.5266
371.92                   21.5170
372.19                   21.5074
372.45                   21.4978
372.72                   21.4881
372.99                   21.4785
373.25                   21.4689
373.52                   21.4593
373.78                   21.4496
374.05                   21.4400
374.31                   21.4304
374.58                   21.4208
374.84                   21.4111
375.11                   21.4015
375.37                   21.3919
375.64                   21.3823
375.90                   21.3726
376.17                   21.3630
376.43                   21.3534
376.70                   21.3438
376.97                   21.3341
377.23                   21.3245
377.50                   21.3149
377.76                   21.3053
378.03                   21.2956
378.29                   21.2860
378.56                   21.2764
378.82                   21.2668
379.09                   21.2571
379.35                   21.2475
379.62                   21.2379
379.88                   21.2283
380.15                   21.2186
380.41                   21.2090
380.68                   21.1994
380.95                   21.1898
381.21                   21.1801
381.48                   21.1705
381.74                   21.1609
382.01                   21.1513
382.27                   21.1417
382.54                   21.1320
382.80                   21.1224
383.07                   21.1128
383.33                   21.1032
383.60                   21.0935
383.86                   21.0839
384.13                   21.0743
384.40                   21.0647
384.66                   21.0550
384.93                   21.0454
385.19                   21.0358
385.46                   21.0262
385.72                   21.0166
385.99                   21.0069
386.25                   20.9973
386.52                   20.9877
386.78                   20.9781
387.05                   20.9685
387.31                   20.9589
387.58                   20.9493
387.84                   20.9396
388.11                   20.9300
388.38                   20.9204
388.64                   20.9108
388.91                   20.9012
389.17                   20.8916
389.44                   20.8820
389.70                   20.8724
389.97                   20.8628
390.23                   20.8532
390.50                   20.8437
390.76                   20.8341
391.03                   20.8245
391.29                   20.8149
391.56                   20.8053
391.82                   20.7958
392.09                   20.7862
392.36                   20.7766
