# sky background 0.3-1.0um
# BRIGHT optical sky - 100%ile conditions (day 14)
# AM=1.5
#
#derived from sky spectrum with constant slope to match assumed photometric background
#increasingly poor model at very bright sky (day14);  patched to near-IR background at 920nm
#
#1 March 2001 : Phil Puxley

#nm         phot/s/nm/arcsec^2/m^2
430.56                   18.9198
430.83                   18.9113
431.09                   18.9028
431.36                   18.8943
431.63                   18.8858
431.89                   18.8772
432.16                   18.8687
432.42                   18.8602
432.69                   18.8517
432.95                   18.8432
433.22                   18.8347
433.48                   18.8262
433.75                   18.8177
434.01                   18.8092
434.28                   18.8007
434.54                   18.7922
434.81                   18.7837
435.07                   18.7752
435.34                   18.7667
435.61                   18.7582
435.87                   18.7497
436.14                   18.7412
436.40                   18.7327
436.67                   18.7242
436.93                   18.7158
437.20                   18.7073
437.46                   18.6988
437.73                   18.6903
437.99                   18.6818
438.26                   18.6733
438.52                   18.6648
438.79                   18.6563
439.05                   18.6479
439.32                   18.6394
439.59                   18.6309
439.85                   18.6224
440.12                   18.6140
440.38                   18.6055
440.65                   18.5971
440.91                   18.5886
441.18                   18.5802
441.44                   18.5717
441.71                   18.5633
441.97                   18.5548
442.24                   18.5463
442.50                   18.5379
442.77                   18.5294
443.04                   18.5210
443.30                   18.5125
443.57                   18.5041
443.83                   18.4956
444.10                   18.4871
444.36                   18.4787
444.63                   18.4702
444.89                   18.4618
445.16                   18.4533
445.42                   18.4448
445.69                   18.4364
445.95                   18.4279
446.22                   18.4195
446.48                   18.4110
446.75                   18.4025
447.02                   18.3941
447.28                   18.3856
447.55                   18.3771
447.81                   18.3686
448.08                   18.3602
448.34                   18.3517
448.61                   18.3432
448.87                   18.3347
449.14                   18.3263
449.40                   18.3178
449.67                   18.3093
449.93                   18.3008
450.20                   18.2923
450.46                   18.2838
450.73                   18.2753
451.00                   18.2668
451.26                   18.2583
451.53                   18.2498
451.79                   18.2413
452.06                   18.2328
452.32                   18.2243
452.59                   18.2158
452.85                   18.2073
453.12                   18.1988
453.38                   18.1903
453.65                   18.1818
453.91                   18.1733
454.18                   18.1648
454.44                   18.1563
454.71                   18.1478
454.98                   18.1393
455.24                   18.1308
455.51                   18.1223
455.77                   18.1138
456.04                   18.1053
456.30                   18.0969
456.57                   18.0884
456.83                   18.0799
457.10                   18.0714
457.36                   18.0629
457.63                   18.0544
457.89                   18.0459
458.16                   18.0374
458.42                   18.0289
458.69                   18.0204
458.96                   18.0119
459.22                   18.0034
459.49                   17.9950
459.75                   17.9865
460.02                   17.9780
460.28                   17.9695
460.55                   17.9610
460.81                   17.9525
461.08                   17.9441
461.34                   17.9356
461.61                   17.9271
461.87                   17.9186
462.14                   17.9102
462.40                   17.9017
462.67                   17.8932
462.94                   17.8847
463.20                   17.8763
463.47                   17.8678
463.73                   17.8593
464.00                   17.8508
464.26                   17.8424
464.53                   17.8339
464.79                   17.8254
465.06                   17.8169
465.32                   17.8085
465.59                   17.8000
465.85                   17.7915
466.12                   17.7831
466.38                   17.7746
466.65                   17.7661
466.92                   17.7577
467.18                   17.7492
467.45                   17.7408
467.71                   17.7323
467.98                   17.7238
468.24                   17.7154
468.51                   17.7070
468.77                   17.6985
469.04                   17.6901
469.30                   17.6816
469.57                   17.6732
469.83                   17.6647
470.10                   17.6563
470.37                   17.6479
470.63                   17.6395
470.90                   17.6311
471.16                   17.6226
471.43                   17.6142
471.69                   17.6058
471.96                   17.5974
472.22                   17.5890
472.49                   17.5805
472.75                   17.5721
473.02                   17.5637
473.28                   17.5553
473.55                   17.5469
473.81                   17.5384
474.08                   17.5300
474.35                   17.5216
474.61                   17.5132
474.88                   17.5047
475.14                   17.4963
475.41                   17.4879
475.67                   17.4794
475.94                   17.4710
476.20                   17.4626
476.47                   17.4541
476.73                   17.4457
477.00                   17.4372
477.26                   17.4288
477.53                   17.4204
477.79                   17.4119
478.06                   17.4035
478.33                   17.3950
478.59                   17.3865
478.86                   17.3781
479.12                   17.3696
479.39                   17.3612
479.65                   17.3527
479.92                   17.3442
480.18                   17.3357
480.45                   17.3272
480.71                   17.3187
480.98                   17.3102
481.24                   17.3017
481.51                   17.2932
481.77                   17.2847
482.04                   17.2762
482.31                   17.2677
482.57                   17.2592
482.84                   17.2507
483.10                   17.2422
483.37                   17.2336
483.63                   17.2251
483.90                   17.2166
484.16                   17.2081
484.43                   17.1996
484.69                   17.1911
484.96                   17.1826
485.22                   17.1741
485.49                   17.1656
485.75                   17.1571
486.02                   17.1486
486.29                   17.1401
486.55                   17.1316
486.82                   17.1231
487.08                   17.1146
487.35                   17.1061
487.61                   17.0976
487.88                   17.0892
488.14                   17.0807
488.41                   17.0722
488.67                   17.0637
488.94                   17.0552
489.20                   17.0467
489.47                   17.0382
489.73                   17.0297
490.00                   17.0212
490.27                   17.0128
490.53                   17.0043
490.80                   16.9958
491.06                   16.9873
491.33                   16.9789
491.59                   16.9704
491.86                   16.9619
492.12                   16.9535
492.39                   16.9450
492.65                   16.9365
492.92                   16.9281
493.18                   16.9196
493.45                   16.9111
493.71                   16.9026
493.98                   16.8942
494.25                   16.8857
494.51                   16.8772
494.78                   16.8688
495.04                   16.8603
495.31                   16.8518
495.57                   16.8434
495.84                   16.8349
496.10                   16.8264
496.37                   16.8179
496.63                   16.8095
496.90                   16.8010
497.16                   16.7925
497.43                   16.7841
497.70                   16.7756
497.96                   16.7671
498.23                   16.7587
498.49                   16.7502
498.76                   16.7417
499.02                   16.7333
499.29                   16.7248
499.55                   16.7164
499.82                   16.7079
500.08                   16.6994
500.35                   16.6910
500.61                   16.6825
500.88                   16.6741
501.14                   16.6656
501.41                   16.6572
501.68                   16.6487
501.94                   16.6403
502.21                   16.6318
502.47                   16.6233
502.74                   16.6149
503.00                   16.6064
503.27                   16.5980
503.53                   16.5895
503.80                   16.5811
504.06                   16.5726
504.33                   16.5642
504.59                   16.5557
504.86                   16.5473
505.12                   16.5388
505.39                   16.5304
505.66                   16.5219
505.92                   16.5135
506.19                   16.5050
506.45                   16.4965
506.72                   16.4881
506.98                   16.4796
507.25                   16.4712
507.51                   16.4627
507.78                   16.4543
508.04                   16.4458
508.31                   16.4374
508.57                   16.4289
508.84                   16.4205
509.10                   16.4120
509.37                   16.4036
509.64                   16.3951
509.90                   16.3867
510.17                   16.3783
510.43                   16.3699
510.70                   16.3614
510.96                   16.3535
511.23                   16.3421
511.49                   16.3376
511.76                   16.3312
512.02                   16.3221
512.29                   16.3030
512.55                   16.2819
512.82                   16.2738
513.08                   16.2775
513.35                   16.2763
513.62                   16.2642
513.88                   16.2483
514.15                   16.2419
514.41                   16.2346
514.68                   16.2285
514.94                   16.2160
515.21                   16.2054
515.47                   16.1914
515.74                   16.1804
516.00                   16.1737
516.27                   16.1582
516.53                   16.1440
516.80                   16.1312
517.06                   16.1368
517.33                   16.1345
517.60                   16.1353
517.86                   16.1144
518.13                   16.1117
518.39                   16.1044
518.66                   16.1128
518.92                   16.0987
519.19                   16.1015
519.45                   16.2005
519.72                   16.3201
519.98                   16.3487
520.25                   16.2414
520.51                   16.1089
520.78                   16.0517
521.04                   16.0265
521.31                   16.0158
521.58                   16.0093
521.84                   16.0077
522.11                   16.0116
522.37                   15.9900
522.64                   15.9690
522.90                   15.9514
523.17                   15.9502
523.43                   15.9480
523.70                   15.9448
523.96                   15.9383
524.23                   15.9270
524.49                   15.9131
524.76                   15.8996
525.03                   15.8995
525.29                   15.8952
525.56                   15.8919
525.82                   15.8705
526.09                   15.8466
526.35                   15.8286
526.62                   15.8204
526.88                   15.8223
527.15                   15.8311
527.41                   15.8371
527.68                   15.8327
527.94                   15.8295
528.21                   15.8081
528.47                   15.7865
528.74                   15.7626
529.01                   15.7604
529.27                   15.7611
529.54                   15.7604
529.80                   15.7538
530.07                   15.7458
530.33                   15.7326
530.60                   15.7234
530.86                   15.7311
531.13                   15.7253
531.39                   15.7156
531.66                   15.6889
531.92                   15.6769
532.19                   15.6656
532.45                   15.6658
532.72                   15.6738
532.99                   15.6861
533.25                   15.6689
533.52                   15.6427
533.78                   15.6154
534.05                   15.6075
534.31                   15.6048
534.58                   15.5996
534.84                   15.5874
535.11                   15.5721
535.37                   15.5626
535.64                   15.5618
535.90                   15.5587
536.17                   15.5489
536.43                   15.5352
536.70                   15.5249
536.97                   15.5144
537.23                   15.5142
537.50                   15.5025
537.76                   15.4883
538.03                   15.4657
538.29                   15.4549
538.56                   15.4495
538.82                   15.4536
539.09                   15.4421
539.35                   15.4326
539.62                   15.4175
539.88                   15.4127
540.15                   15.4069
540.41                   15.3969
540.68                   15.3973
540.95                   15.3838
541.21                   15.3841
541.48                   15.3651
541.74                   15.3635
542.01                   15.3425
542.27                   15.3319
542.54                   15.3216
542.80                   15.3187
543.07                   15.3213
543.33                   15.3217
543.60                   15.3130
543.86                   15.3060
544.13                   15.2818
544.39                   15.2787
544.66                   15.2657
544.93                   15.2702
545.19                   15.2606
545.46                   15.2506
545.72                   15.2398
545.99                   15.2355
546.25                   15.2332
546.52                   15.2280
546.78                   15.2131
547.05                   15.1890
547.31                   15.1672
547.58                   15.1597
547.84                   15.1601
548.11                   15.1519
548.37                   15.1495
548.64                   15.1468
548.91                   15.1563
549.17                   15.1442
549.44                   15.1432
549.70                   15.1311
549.97                   15.1262
550.23                   15.1121
550.50                   15.1045
550.76                   15.0957
551.03                   15.0852
551.29                   15.0731
551.56                   15.0634
551.82                   15.0536
552.09                   15.0385
552.36                   15.0190
552.62                   15.0064
552.89                   15.0020
553.15                   15.0131
553.42                   15.0089
553.68                   15.0101
553.95                   15.0060
554.21                   15.0187
554.48                   15.0149
554.74                   15.0004
555.01                   14.9798
555.27                   14.9645
555.54                   14.9498
555.80                   14.9456
556.07                   14.9505
556.34                   14.9533
556.60                   14.9458
556.87                   14.9499
557.13                   16.9045
557.40                   19.6336
557.66                   21.5222
557.93                   20.0086
558.19                   17.2613
558.46                   15.3321
558.72                   14.8709
558.99                   14.8565
559.25                   14.8434
559.52                   14.8240
559.78                   14.8156
560.05                   14.8243
560.32                   14.8260
560.58                   14.8232
560.85                   14.7915
561.11                   14.7570
561.38                   14.7487
561.64                   14.7602
561.91                   14.7848
562.17                   14.7878
562.44                   14.7757
562.70                   14.7418
562.97                   14.7105
563.23                   14.6865
563.50                   14.6848
563.76                   14.6849
564.03                   14.6815
564.30                   14.6823
564.56                   14.6856
564.83                   14.6753
565.09                   14.6500
565.36                   14.6218
565.62                   14.6129
565.89                   14.6113
566.15                   14.6130
566.42                   14.6177
566.68                   14.6187
566.95                   14.6047
567.21                   14.5895
567.48                   14.5763
567.74                   14.5764
568.01                   14.5571
568.28                   14.5429
568.54                   14.5193
568.81                   14.5223
569.07                   14.5285
569.34                   14.5360
569.60                   14.5396
569.87                   14.5196
570.13                   14.5102
570.40                   14.4843
570.66                   14.4798
570.93                   14.4609
571.19                   14.4547
571.46                   14.4499
571.72                   14.4587
571.99                   14.4590
572.26                   14.4540
572.52                   14.4323
572.79                   14.4221
573.05                   14.4091
573.32                   14.4022
573.58                   14.3896
573.85                   14.3757
574.11                   14.3740
574.38                   14.3689
574.64                   14.3636
574.91                   14.3418
575.17                   14.3282
575.44                   14.3143
575.70                   14.3167
575.97                   14.2994
576.24                   14.2927
576.50                   14.2840
576.77                   14.2869
577.03                   14.2805
577.30                   14.2678
577.56                   14.2548
577.83                   14.2465
578.09                   14.2351
578.36                   14.2271
578.62                   14.2091
578.89                   14.1993
579.15                   14.1929
579.42                   14.1868
579.68                   14.1860
579.95                   14.1806
580.22                   14.1873
580.48                   14.1798
580.75                   14.1644
581.01                   14.1445
581.28                   14.1371
581.54                   14.1353
581.81                   14.1443
582.07                   14.1472
582.34                   14.1422
582.60                   14.1192
582.87                   14.1096
583.13                   14.1005
583.40                   14.0920
583.67                   14.0821
583.93                   14.0884
584.20                   14.1660
584.46                   14.1494
584.73                   14.1300
584.99                   14.0377
585.26                   14.0368
585.52                   14.0181
585.79                   14.0171
586.05                   14.0448
586.32                   14.1177
586.58                   14.1535
586.85                   14.1367
587.11                   14.0712
587.38                   14.0418
587.65                   14.0169
587.91                   14.0072
588.18                   14.0118
588.44                   14.4810
588.71                   14.9959
588.97                   15.4089
589.24                   15.2183
589.50                   14.8647
589.77                   14.4479
590.03                   14.1576
590.30                   13.9883
590.56                   13.9600
590.83                   13.9631
591.09                   13.9877
591.36                   14.0020
591.63                   13.9867
591.89                   13.9516
592.16                   13.9196
592.42                   13.9014
592.69                   13.9090
592.95                   13.9417
593.22                   13.9750
593.48                   13.9260
593.75                   13.8502
594.01                   13.7942
594.28                   13.8053
594.54                   13.8131
594.81                   13.8405
595.07                   13.8622
595.34                   13.8561
595.61                   13.8073
595.87                   13.7446
596.14                   13.7179
596.40                   13.7093
596.67                   13.7264
