# mid-IR telescope emission 5-30um
# assumes grey emissivity of 10%
# 
# original data from Scott Fisher
#
# sampled (1 point in 10) by Phil Puxley
# 3 Sept 2003
#
#  Wavelength        Flux density
#  (nm)          (ph/sec/nm/arcsec2/m2)

    5000      72100
    5010      73020
    5020      73950
    5030      74880
    5040      75820
    5050      76770
    5060      77720
    5070      78680
    5080      79650
    5090      80620
    5100      81600
    5110      82590
    5120      83580
    5130      84580
    5140      85590
    5150      86600
    5160      87620
    5170      88650
    5180      89680
    5190      90720
    5200      91770
    5210      92820
    5220      93880
    5230      94950
    5240      96020
    5250      97100
    5260      98190
    5270      99280
    5280     100400
    5290     101500
    5300     102600
    5310     103700
    5320     104800
    5330     106000
    5340     107100
    5350     108300
    5360     109400
    5370     110600
    5380     111700
    5390     112900
    5400     114100
    5410     115300
    5420     116500
    5430     117600
    5440     118900
    5450     120100
    5460     121300
    5470     122500
    5480     123700
    5490     124900
    5500     126200
    5510     127400
    5520     128700
    5530     129900
    5540     131200
    5550     132500
    5560     133700
    5570     135000
    5580     136300
    5590     137600
    5600     138900
    5610     140200
    5620     141500
    5630     142800
    5640     144100
    5650     145500
    5660     146800
    5670     148100
    5680     149500
    5690     150800
    5700     152200
    5710     153500
    5720     154900
    5730     156300
    5740     157600
    5750     159000
    5760     160400
    5770     161800
    5780     163200
    5790     164600
    5800     166000
    5810     167400
    5820     168800
    5830     170300
    5840     171700
    5850     173100
    5860     174600
    5870     176000
    5880     177400
    5890     178900
    5900     180400
    5910     181800
    5920     183300
    5930     184800
    5940     186200
    5950     187700
    5960     189200
    5970     190700
    5980     192200
    5990     193700
    6000     195200
    6010     196700
    6020     198200
    6030     199700
    6040     201200
    6050     202800
    6060     204300
    6070     205800
    6080     207400
    6090     208900
    6100     210400
    6110     212000
    6120     213500
    6130     215100
    6140     216700
    6150     218200
    6160     219800
    6170     221400
    6180     222900
    6190     224500
    6200     226100
    6210     227700
    6220     229300
    6230     230900
    6240     232500
    6250     234100
    6260     235700
    6270     237300
    6280     238900
    6290     240500
    6300     242100
    6310     243800
    6320     245400
    6330     247000
    6340     248700
    6350     250300
    6360     251900
    6370     253600
    6380     255200
    6390     256900
    6400     258500
    6410     260200
    6420     261800
    6430     263500
    6440     265100
    6450     266800
    6460     268500
    6470     270100
    6480     271800
    6490     273500
    6500     275200
    6510     276800
    6520     278500
    6530     280200
    6540     281900
    6550     283600
    6560     285300
    6570     287000
    6580     288700
    6590     290400
    6600     292100
    6610     293800
    6620     295500
    6630     297200
    6640     298900
    6650     300600
    6660     302300
    6670     304000
    6680     305700
    6690     307400
    6700     309200
    6710     310900
    6720     312600
    6730     314300
    6740     316100
    6750     317800
    6760     319500
    6770     321200
    6780     323000
    6790     324700
    6800     326400
    6810     328200
    6820     329900
    6830     331700
    6840     333400
    6850     335100
    6860     336900
    6870     338600
    6880     340400
    6890     342100
    6900     343900
    6910     345600
    6920     347300
    6930     349100
    6940     350800
    6950     352600
    6960     354300
    6970     356100
    6980     357900
    6990     359600
    7000     361400
    7010     363100
    7020     364900
    7030     366600
    7040     368400
    7050     370100
    7060     371900
    7070     373600
    7080     375400
    7090     377200
    7100     378900
    7110     380700
    7120     382400
    7130     384200
    7140     386000
    7150     387700
    7160     389500
    7170     391200
    7180     393000
    7190     394700
    7200     396500
    7210     398300
    7220     400000
    7230     401800
    7240     403500
    7250     405300
    7260     407000
    7270     408800
    7280     410600
    7290     412300
    7300     414100
    7310     415800
    7320     417600
    7330     419300
    7340     421100
    7350     422800
    7360     424600
    7370     426400
    7380     428100
    7390     429900
    7400     431600
    7410     433400
    7420     435100
    7430     436800
    7440     438600
    7450     440300
    7460     442100
    7470     443800
    7480     445600
    7490     447300
    7500     449100
    7510     450800
    7520     452500
    7530     454300
    7540     456000
    7550     457700
    7560     459500
    7570     461200
    7580     462900
    7590     464700
    7600     466400
    7610     468100
    7620     469900
    7630     471600
    7640     473300
    7650     475000
    7660     476800
    7670     478500
    7680     480200
    7690     481900
    7700     483600
    7710     485300
    7720     487000
    7730     488800
    7740     490500
    7750     492200
    7760     493900
    7770     495600
    7780     497300
    7790     499000
    7800     500700
    7810     502400
    7820     504100
    7830     505800
    7840     507500
    7850     509100
    7860     510800
    7870     512500
    7880     514200
    7890     515900
    7900     517600
    7910     519200
    7920     520900
    7930     522600
    7940     524200
    7950     525900
    7960     527600
    7970     529200
    7980     530900
    7990     532600
    8000     534200
    8010     535900
    8020     537500
    8030     539200
    8040     540800
    8050     542500
    8060     544100
    8070     545700
    8080     547400
    8090     549000
    8100     550700
    8110     552300
    8120     553900
    8130     555500
    8140     557200
    8150     558800
    8160     560400
    8170     562000
    8180     563600
    8190     565200
    8200     566800
    8210     568400
    8220     570000
    8230     571600
    8240     573200
    8250     574800
    8260     576400
    8270     578000
    8280     579600
    8290     581200
    8300     582800
    8310     584300
    8320     585900
    8330     587500
    8340     589000
    8350     590600
    8360     592200
    8370     593700
    8380     595300
    8390     596800
    8400     598400
    8410     599900
    8420     601500
    8430     603000
    8440     604600
    8450     606100
    8460     607600
    8470     609200
    8480     610700
    8490     612200
    8500     613700
    8510     615200
    8520     616800
    8530     618300
    8540     619800
    8550     621300
    8560     622800
    8570     624300
    8580     625800
    8590     627300
    8600     628700
    8610     630200
    8620     631700
    8630     633200
    8640     634700
    8650     636100
    8660     637600
    8670     639100
    8680     640500
    8690     642000
    8700     643400
    8710     644900
    8720     646300
    8730     647800
    8740     649200
    8750     650700
    8760     652100
    8770     653500
    8780     655000
    8790     656400
    8800     657800
    8810     659200
    8820     660600
    8830     662000
    8840     663400
    8850     664800
    8860     666200
    8870     667600
    8880     669000
    8890     670400
    8900     671800
    8910     673200
    8920     674600
    8930     675900
    8940     677300
    8950     678700
    8960     680000
    8970     681400
    8980     682800
    8990     684100
    9000     685500
    9010     686800
    9020     688100
    9030     689500
    9040     690800
    9050     692100
    9060     693500
    9070     694800
    9080     696100
    9090     697400
    9100     698700
    9110     700000
    9120     701400
    9130     702700
    9140     703900
    9150     705200
    9160     706500
    9170     707800
    9180     709100
    9190     710400
    9200     711700
    9210     712900
    9220     714200
    9230     715500
    9240     716700
    9250     718000
    9260     719200
    9270     720500
    9280     721700
    9290     723000
    9300     724200
    9310     725400
    9320     726700
    9330     727900
    9340     729100
    9350     730300
    9360     731500
    9370     732700
    9380     734000
    9390     735200
    9400     736400
    9410     737600
    9420     738700
    9430     739900
    9440     741100
    9450     742300
    9460     743500
    9470     744600
    9480     745800
    9490     747000
    9500     748100
    9510     749300
    9520     750400
    9530     751600
    9540     752700
    9550     753900
    9560     755000
    9570     756100
    9580     757300
    9590     758400
    9600     759500
    9610     760600
    9620     761800
    9630     762900
    9640     764000
    9650     765100
    9660     766200
    9670     767300
    9680     768400
    9690     769400
    9700     770500
    9710     771600
    9720     772700
    9730     773800
    9740     774800
    9750     775900
    9760     777000
    9770     778000
    9780     779100
    9790     780100
    9800     781200
    9810     782200
    9820     783200
    9830     784300
    9840     785300
    9850     786300
    9860     787300
    9870     788400
    9880     789400
    9890     790400
    9900     791400
    9910     792400
    9920     793400
    9930     794400
    9940     795400
    9950     796400
    9960     797300
    9970     798300
    9980     799300
    9990     800300
   10000     801200
   10010     802200
   10020     803200
   10030     804100
   10040     805100
   10050     806000
   10060     807000
   10070     807900
   10080     808800
   10090     809800
   10100     810700
   10110     811600
   10120     812500
   10130     813500
   10140     814400
   10150     815300
   10160     816200
   10170     817100
   10180     818000
   10190     818900
   10200     819800
   10210     820700
   10220     821500
   10230     822400
   10240     823300
   10250     824200
   10260     825000
   10270     825900
   10280     826800
   10290     827600
   10300     828500
   10310     829300
   10320     830200
   10330     831000
   10340     831800
   10350     832700
   10360     833500
   10370     834300
   10380     835100
   10390     836000
   10400     836800
   10410     837600
   10420     838400
   10430     839200
   10440     840000
   10450     840800
   10460     841600
   10470     842400
   10480     843200
   10490     844000
   10500     844700
   10510     845500
   10520     846300
   10530     847000
   10540     847800
   10550     848600
   10560     849300
   10570     850100
   10580     850800
   10590     851600
   10600     852300
   10610     853000
   10620     853800
   10630     854500
   10640     855200
   10650     856000
   10660     856700
   10670     857400
   10680     858100
   10690     858800
   10700     859500
   10710     860200
   10720     860900
   10730     861600
   10740     862300
   10750     863000
   10760     863700
   10770     864400
   10780     865000
   10790     865700
   10800     866400
   10810     867000
   10820     867700
   10830     868400
   10840     869000
   10850     869700
   10860     870300
   10870     871000
   10880     871600
   10890     872200
   10900     872900
   10910     873500
   10920     874100
   10930     874800
   10940     875400
   10950     876000
   10960     876600
   10970     877200
   10980     877800
   10990     878400
   11000     879000
   11010     879600
   11020     880200
   11030     880800
   11040     881400
   11050     882000
   11060     882500
   11070     883100
   11080     883700
   11090     884300
   11100     884800
   11110     885400
   11120     885900
   11130     886500
   11140     887100
   11150     887600
   11160     888100
   11170     888700
   11180     889200
   11190     889800
   11200     890300
   11210     890800
   11220     891300
   11230     891900
   11240     892400
   11250     892900
   11260     893400
   11270     893900
   11280     894400
   11290     894900
   11300     895400
   11310     895900
   11320     896400
   11330     896900
   11340     897400
   11350     897900
   11360     898400
   11370     898800
   11380     899300
   11390     899800
   11400     900200
   11410     900700
   11420     901200
   11430     901600
   11440     902100
   11450     902500
   11460     903000
   11470     903400
   11480     903900
   11490     904300
   11500     904700
   11510     905200
   11520     905600
   11530     906000
   11540     906400
   11550     906900
   11560     907300
   11570     907700
   11580     908100
   11590     908500
   11600     908900
   11610     909300
   11620     909700
   11630     910100
   11640     910500
   11650     910900
   11660     911300
   11670     911600
   11680     912000
   11690     912400
   11700     912800
   11710     913200
   11720     913500
   11730     913900
   11740     914200
   11750     914600
   11760     915000
   11770     915300
   11780     915700
   11790     916000
   11800     916400
   11810     916700
   11820     917000
   11830     917400
   11840     917700
   11850     918000
   11860     918400
   11870     918700
   11880     919000
   11890     919300
   11900     919600
   11910     919900
   11920     920300
   11930     920600
   11940     920900
   11950     921200
   11960     921500
   11970     921800
   11980     922100
   11990     922300
   12000     922600
   12010     922900
   12020     923200
   12030     923500
   12040     923700
   12050     924000
   12060     924300
   12070     924600
   12080     924800
   12090     925100
   12100     925300
   12110     925600
   12120     925900
   12130     926100
   12140     926400
   12150     926600
   12160     926800
   12170     927100
   12180     927300
   12190     927600
   12200     927800
   12210     928000
   12220     928200
   12230     928500
   12240     928700
   12250     928900
   12260     929100
   12270     929300
   12280     929600
   12290     929800
   12300     930000
   12310     930200
   12320     930400
   12330     930600
   12340     930800
   12350     931000
   12360     931200
   12370     931300
   12380     931500
   12390     931700
   12400     931900
   12410     932100
   12420     932200
   12430     932400
   12440     932600
   12450     932800
   12460     932900
   12470     933100
   12480     933300
   12490     933400
   12500     933600
   12510     933700
   12520     933900
   12530     934000
   12540     934200
   12550     934300
   12560     934500
   12570     934600
   12580     934700
   12590     934900
   12600     935000
   12610     935100
   12620     935200
   12630     935400
   12640     935500
   12650     935600
   12660     935700
   12670     935900
   12680     936000
   12690     936100
   12700     936200
   12710     936300
   12720     936400
   12730     936500
   12740     936600
   12750     936700
   12760     936800
   12770     936900
   12780     937000
   12790     937100
   12800     937100
   12810     937200
   12820     937300
   12830     937400
   12840     937500
   12850     937500
   12860     937600
   12870     937700
   12880     937700
   12890     937800
   12900     937900
   12910     937900
   12920     938000
   12930     938100
   12940     938100
   12950     938200
   12960     938200
   12970     938300
   12980     938300
   12990     938300
   13000     938400
   13010     938400
   13020     938500
   13030     938500
   13040     938500
   13050     938600
   13060     938600
   13070     938600
   13080     938700
   13090     938700
   13100     938700
   13110     938700
   13120     938700
   13130     938700
   13140     938800
   13150     938800
   13160     938800
   13170     938800
   13180     938800
   13190     938800
   13200     938800
   13210     938800
   13220     938800
   13230     938800
   13240     938800
   13250     938800
   13260     938800
   13270     938700
   13280     938700
   13290     938700
   13300     938700
   13310     938700
   13320     938700
   13330     938600
   13340     938600
   13350     938600
   13360     938500
   13370     938500
   13380     938500
   13390     938400
   13400     938400
   13410     938400
   13420     938300
   13430     938300
   13440     938200
   13450     938200
   13460     938100
   13470     938100
   13480     938000
   13490     938000
   13500     937900
   13510     937900
   13520     937800
   13530     937800
   13540     937700
   13550     937600
   13560     937600
   13570     937500
   13580     937400
   13590     937400
   13600     937300
   13610     937200
   13620     937100
   13630     937000
   13640     937000
   13650     936900
   13660     936800
   13670     936700
   13680     936600
   13690     936500
   13700     936400
   13710     936400
   13720     936300
   13730     936200
   13740     936100
   13750     936000
   13760     935900
   13770     935800
   13780     935700
   13790     935600
   13800     935400
   13810     935300
   13820     935200
   13830     935100
   13840     935000
   13850     934900
   13860     934800
   13870     934700
   13880     934500
   13890     934400
   13900     934300
   13910     934200
   13920     934000
   13930     933900
   13940     933800
   13950     933600
   13960     933500
   13970     933400
   13980     933200
   13990     933100
   14000     933000
   14010     932800
   14020     932700
   14030     932500
   14040     932400
   14050     932300
   14060     932100
   14070     932000
   14080     931800
   14090     931700
   14100     931500
   14110     931300
   14120     931200
   14130     931000
   14140     930900
   14150     930700
   14160     930500
   14170     930400
   14180     930200
   14190     930100
   14200     929900
   14210     929700
   14220     929500
   14230     929400
   14240     929200
   14250     929000
   14260     928800
   14270     928700
   14280     928500
   14290     928300
   14300     928100
   14310     927900
   14320     927800
   14330     927600
   14340     927400
   14350     927200
   14360     927000
   14370     926800
   14380     926600
   14390     926400
   14400     926200
   14410     926000
   14420     925800
   14430     925600
   14440     925400
   14450     925200
   14460     925000
   14470     924800
   14480     924600
   14490     924400
   14500     924200
   14510     924000
   14520     923800
   14530     923600
   14540     923400
   14550     923200
   14560     922900
   14570     922700
   14580     922500
   14590     922300
   14600     922100
   14610     921800
   14620     921600
   14630     921400
   14640     921200
   14650     920900
   14660     920700
   14670     920500
   14680     920300
   14690     920000
   14700     919800
   14710     919600
   14720     919300
   14730     919100
   14740     918900
   14750     918600
   14760     918400
   14770     918100
   14780     917900
   14790     917700
   14800     917400
   14810     917200
   14820     916900
   14830     916700
   14840     916400
   14850     916200
   14860     915900
   14870     915700
   14880     915400
   14890     915200
   14900     914900
   14910     914700
   14920     914400
   14930     914100
   14940     913900
   14950     913600
   14960     913400
   14970     913100
   14980     912800
   14990     912600
   15000     912300
   15010     912000
   15020     911800
   15030     911500
   15040     911200
   15050     911000
   15060     910700
   15070     910400
   15080     910200
   15090     909900
   15100     909600
   15110     909300
   15120     909100
   15130     908800
   15140     908500
   15150     908200
   15160     907900
   15170     907700
   15180     907400
   15190     907100
   15200     906800
   15210     906500
   15220     906200
   15230     905900
   15240     905700
   15250     905400
   15260     905100
   15270     904800
   15280     904500
   15290     904200
   15300     903900
   15310     903600
   15320     903300
   15330     903000
   15340     902700
   15350     902400
   15360     902100
   15370     901800
   15380     901500
   15390     901200
   15400     900900
   15410     900600
   15420     900300
   15430     900000
   15440     899700
   15450     899400
   15460     899100
   15470     898800
   15480     898500
   15490     898200
   15500     897800
   15510     897500
   15520     897200
   15530     896900
   15540     896600
   15550     896300
   15560     896000
   15570     895600
   15580     895300
   15590     895000
   15600     894700
   15610     894400
   15620     894000
   15630     893700
   15640     893400
   15650     893100
   15660     892700
   15670     892400
   15680     892100
   15690     891800
   15700     891400
   15710     891100
   15720     890800
   15730     890500
   15740     890100
   15750     889800
   15760     889500
   15770     889100
   15780     888800
   15790     888500
   15800     888100
   15810     887800
   15820     887500
   15830     887100
   15840     886800
   15850     886400
   15860     886100
   15870     885800
   15880     885400
   15890     885100
   15900     884700
   15910     884400
   15920     884100
   15930     883700
   15940     883400
   15950     883000
   15960     882700
   15970     882300
   15980     882000
   15990     881600
   16000     881300
   16010     880900
   16020     880600
   16030     880200
   16040     879900
   16050     879500
   16060     879200
   16070     878800
   16080     878500
   16090     878100
   16100     877800
   16110     877400
   16120     877100
   16130     876700
   16140     876400
   16150     876000
   16160     875600
   16170     875300
   16180     874900
   16190     874600
   16200     874200
   16210     873800
   16220     873500
   16230     873100
   16240     872800
   16250     872400
   16260     872000
   16270     871700
   16280     871300
   16290     870900
   16300     870600
   16310     870200
   16320     869800
   16330     869500
   16340     869100
   16350     868700
   16360     868400
   16370     868000
   16380     867600
   16390     867200
   16400     866900
   16410     866500
   16420     866100
   16430     865800
   16440     865400
   16450     865000
   16460     864600
   16470     864300
   16480     863900
   16490     863500
   16500     863100
   16510     862700
   16520     862400
   16530     862000
   16540     861600
   16550     861200
   16560     860900
   16570     860500
   16580     860100
   16590     859700
   16600     859300
   16610     858900
   16620     858600
   16630     858200
   16640     857800
   16650     857400
   16660     857000
   16670     856600
   16680     856300
   16690     855900
   16700     855500
   16710     855100
   16720     854700
   16730     854300
   16740     853900
   16750     853500
   16760     853200
   16770     852800
   16780     852400
   16790     852000
   16800     851600
   16810     851200
   16820     850800
   16830     850400
   16840     850000
   16850     849600
   16860     849200
   16870     848900
   16880     848500
   16890     848100
   16900     847700
   16910     847300
   16920     846900
   16930     846500
   16940     846100
   16950     845700
   16960     845300
   16970     844900
   16980     844500
   16990     844100
   17000     843700
   17010     843300
   17020     842900
   17030     842500
   17040     842100
   17050     841700
   17060     841300
   17070     840900
   17080     840500
   17090     840100
   17100     839700
   17110     839300
   17120     838900
   17130     838500
   17140     838100
   17150     837700
   17160     837300
   17170     836900
   17180     836500
   17190     836100
   17200     835700
   17210     835200
   17220     834800
   17230     834400
   17240     834000
   17250     833600
   17260     833200
   17270     832800
   17280     832400
   17290     832000
   17300     831600
   17310     831200
   17320     830800
   17330     830400
   17340     829900
   17350     829500
   17360     829100
   17370     828700
   17380     828300
   17390     827900
   17400     827500
   17410     827100
   17420     826700
   17430     826200
   17440     825800
   17450     825400
   17460     825000
   17470     824600
   17480     824200
   17490     823800
   17500     823400
   17510     822900
   17520     822500
   17530     822100
   17540     821700
   17550     821300
   17560     820900
   17570     820400
   17580     820000
   17590     819600
   17600     819200
   17610     818800
   17620     818400
   17630     817900
   17640     817500
   17650     817100
   17660     816700
   17670     816300
   17680     815900
   17690     815400
   17700     815000
   17710     814600
   17720     814200
   17730     813800
   17740     813300
   17750     812900
   17760     812500
   17770     812100
   17780     811700
   17790     811200
   17800     810800
   17810     810400
   17820     810000
   17830     809600
   17840     809100
   17850     808700
   17860     808300
   17870     807900
   17880     807400
   17890     807000
   17900     806600
   17910     806200
   17920     805800
   17930     805300
   17940     804900
   17950     804500
   17960     804100
   17970     803600
   17980     803200
   17990     802800
   18000     802400
   18010     801900
   18020     801500
   18030     801100
   18040     800700
   18050     800200
   18060     799800
   18070     799400
   18080     799000
   18090     798500
   18100     798100
   18110     797700
   18120     797200
   18130     796800
   18140     796400
   18150     796000
   18160     795500
   18170     795100
   18180     794700
   18190     794300
   18200     793800
   18210     793400
   18220     793000
   18230     792500
   18240     792100
   18250     791700
   18260     791300
   18270     790800
   18280     790400
   18290     790000
   18300     789500
   18310     789100
   18320     788700
   18330     788300
   18340     787800
   18350     787400
   18360     787000
   18370     786500
   18380     786100
   18390     785700
   18400     785300
   18410     784800
   18420     784400
   18430     784000
   18440     783500
   18450     783100
   18460     782700
   18470     782200
   18480     781800
   18490     781400
   18500     780900
   18510     780500
   18520     780100
   18530     779700
   18540     779200
   18550     778800
   18560     778400
   18570     777900
   18580     777500
   18590     777100
   18600     776600
   18610     776200
   18620     775800
   18630     775300
   18640     774900
   18650     774500
   18660     774000
   18670     773600
   18680     773200
   18690     772700
   18700     772300
   18710     771900
   18720     771500
   18730     771000
   18740     770600
   18750     770200
   18760     769700
   18770     769300
   18780     768900
   18790     768400
   18800     768000
   18810     767600
   18820     767100
   18830     766700
   18840     766300
   18850     765800
   18860     765400
   18870     765000
   18880     764500
   18890     764100
   18900     763700
   18910     763200
   18920     762800
   18930     762400
   18940     761900
   18950     761500
   18960     761100
   18970     760600
   18980     760200
   18990     759800
   19000     759300
   19010     758900
   19020     758500
   19030     758000
   19040     757600
   19050     757200
   19060     756700
   19070     756300
   19080     755900
   19090     755400
   19100     755000
   19110     754600
   19120     754100
   19130     753700
   19140     753300
   19150     752800
   19160     752400
   19170     752000
   19180     751500
   19190     751100
   19200     750700
   19210     750200
   19220     749800
   19230     749400
   19240     748900
   19250     748500
   19260     748100
   19270     747600
   19280     747200
   19290     746700
   19300     746300
   19310     745900
   19320     745400
   19330     745000
   19340     744600
   19350     744100
   19360     743700
   19370     743300
   19380     742800
   19390     742400
   19400     742000
   19410     741500
   19420     741100
   19430     740700
   19440     740200
   19450     739800
   19460     739400
   19470     738900
   19480     738500
   19490     738100
   19500     737600
   19510     737200
   19520     736800
   19530     736300
   19540     735900
   19550     735500
   19560     735000
   19570     734600
   19580     734200
   19590     733800
   19600     733300
   19610     732900
   19620     732500
   19630     732000
   19640     731600
   19650     731200
   19660     730700
   19670     730300
   19680     729900
   19690     729400
   19700     729000
   19710     728600
   19720     728100
   19730     727700
   19740     727300
   19750     726800
   19760     726400
   19770     726000
   19780     725500
   19790     725100
   19800     724700
   19810     724200
   19820     723800
   19830     723400
   19840     722900
   19850     722500
   19860     722100
   19870     721700
   19880     721200
   19890     720800
   19900     720400
   19910     719900
   19920     719500
   19930     719100
   19940     718600
   19950     718200
   19960     717800
   19970     717300
   19980     716900
   19990     716500
   20000     716100
   20010     715600
   20020     715200
